date,store_id,daily_sales,promotion_active,day_of_week,month,is_weekend,store_size,city_population
2022-01-01,store_1,160.76,0,5,1,1,small,50000
2022-01-02,store_1,182.25,0,6,1,1,small,50000
2022-01-03,store_1,124.52,0,0,1,0,small,50000
2022-01-04,store_1,131.28,0,1,1,0,small,50000
2022-01-05,store_1,125.83,0,2,1,0,small,50000
2022-01-06,store_1,134.64,0,3,1,0,small,50000
2022-01-07,store_1,131.84,0,4,1,0,small,50000
2022-01-08,store_1,177.27,0,5,1,1,small,50000
2022-01-09,store_1,211.12,0,6,1,1,small,50000
2022-01-10,store_1,121.31,0,0,1,0,small,50000
2022-01-11,store_1,147.89,0,1,1,0,small,50000
2022-01-12,store_1,104.8,0,2,1,0,small,50000
2022-01-13,store_1,120.59,0,3,1,0,small,50000
2022-01-14,store_1,135.31,0,4,1,0,small,50000
2022-01-15,store_1,233.68,1,5,1,1,small,50000
2022-01-16,store_1,246.52,1,6,1,1,small,50000
2022-01-17,store_1,129.32,0,0,1,0,small,50000
2022-01-18,store_1,132.44,0,1,1,0,small,50000
2022-01-19,store_1,132.24,0,2,1,0,small,50000
2022-01-20,store_1,133.52,0,3,1,0,small,50000
2022-01-21,store_1,134.27,0,4,1,0,small,50000
2022-01-22,store_1,234.18,1,5,1,1,small,50000
2022-01-23,store_1,170.39,0,6,1,1,small,50000
2022-01-24,store_1,130.8,0,0,1,0,small,50000
2022-01-25,store_1,135.76,0,1,1,0,small,50000
2022-01-26,store_1,135.96,0,2,1,0,small,50000
2022-01-27,store_1,126.27,0,3,1,0,small,50000
2022-01-28,store_1,123.3,0,4,1,0,small,50000
2022-01-29,store_1,151.97,0,5,1,1,small,50000
2022-01-30,store_1,200.18,0,6,1,1,small,50000
2022-01-31,store_1,120.08,0,0,1,0,small,50000
2022-02-01,store_1,124.63,0,1,2,0,small,50000
2022-02-02,store_1,141.41,0,2,2,0,small,50000
2022-02-03,store_1,118.28,0,3,2,0,small,50000
2022-02-04,store_1,114.66,0,4,2,0,small,50000
2022-02-05,store_1,226.59,1,5,2,1,small,50000
2022-02-06,store_1,189.16,0,6,2,1,small,50000
2022-02-07,store_1,133.07,0,0,2,0,small,50000
2022-02-08,store_1,156.41,0,1,2,0,small,50000
2022-02-09,store_1,140.6,0,2,2,0,small,50000
2022-02-10,store_1,119.68,0,3,2,0,small,50000
2022-02-11,store_1,134.52,0,4,2,0,small,50000
2022-02-12,store_1,152.7,0,5,2,1,small,50000
2022-02-13,store_1,183.36,0,6,2,1,small,50000
2022-02-14,store_1,128.47,0,0,2,0,small,50000
2022-02-15,store_1,139.11,0,1,2,0,small,50000
2022-02-16,store_1,150.8,0,2,2,0,small,50000
2022-02-17,store_1,150.28,0,3,2,0,small,50000
2022-02-18,store_1,131.83,0,4,2,0,small,50000
2022-02-19,store_1,252.49,1,5,2,1,small,50000
2022-02-20,store_1,230.6,1,6,2,1,small,50000
2022-02-21,store_1,135.67,0,0,2,0,small,50000
2022-02-22,store_1,117.28,0,1,2,0,small,50000
2022-02-23,store_1,125.04,0,2,2,0,small,50000
2022-02-24,store_1,139.72,0,3,2,0,small,50000
2022-02-25,store_1,114.85,0,4,2,0,small,50000
2022-02-26,store_1,177.14,0,5,2,1,small,50000
2022-02-27,store_1,178.33,0,6,2,1,small,50000
2022-02-28,store_1,140.12,0,0,2,0,small,50000
2022-03-01,store_1,117.4,0,1,3,0,small,50000
2022-03-02,store_1,115.58,0,2,3,0,small,50000
2022-03-03,store_1,144.21,0,3,3,0,small,50000
2022-03-04,store_1,135.59,0,4,3,0,small,50000
2022-03-05,store_1,171.18,0,5,3,1,small,50000
2022-03-06,store_1,153.98,0,6,3,1,small,50000
2022-03-07,store_1,129.42,0,0,3,0,small,50000
2022-03-08,store_1,122.08,0,1,3,0,small,50000
2022-03-09,store_1,143.67,0,2,3,0,small,50000
2022-03-10,store_1,119.62,0,3,3,0,small,50000
2022-03-11,store_1,131.32,0,4,3,0,small,50000
2022-03-12,store_1,187.49,0,5,3,1,small,50000
2022-03-13,store_1,249.37,1,6,3,1,small,50000
2022-03-14,store_1,128.92,0,0,3,0,small,50000
2022-03-15,store_1,140.56,0,1,3,0,small,50000
2022-03-16,store_1,142.56,0,2,3,0,small,50000
2022-03-17,store_1,135.24,0,3,3,0,small,50000
2022-03-18,store_1,138.6,0,4,3,0,small,50000
2022-03-19,store_1,173.09,0,5,3,1,small,50000
2022-03-20,store_1,192.02,0,6,3,1,small,50000
2022-03-21,store_1,132.99,0,0,3,0,small,50000
2022-03-22,store_1,118.82,0,1,3,0,small,50000
2022-03-23,store_1,139.24,0,2,3,0,small,50000
2022-03-24,store_1,122.72,0,3,3,0,small,50000
2022-03-25,store_1,147.59,0,4,3,0,small,50000
2022-03-26,store_1,182.01,0,5,3,1,small,50000
2022-03-27,store_1,149.01,0,6,3,1,small,50000
2022-03-28,store_1,143.23,0,0,3,0,small,50000
2022-03-29,store_1,136.97,0,1,3,0,small,50000
2022-03-30,store_1,141.6,0,2,3,0,small,50000
2022-03-31,store_1,134.47,0,3,3,0,small,50000
2022-04-01,store_1,147.08,0,4,4,0,small,50000
2022-04-02,store_1,224.99,1,5,4,1,small,50000
2022-04-03,store_1,189.28,0,6,4,1,small,50000
2022-04-04,store_1,137.37,0,0,4,0,small,50000
2022-04-05,store_1,115.99,0,1,4,0,small,50000
2022-04-06,store_1,115.17,0,2,4,0,small,50000
2022-04-07,store_1,130.82,0,3,4,0,small,50000
2022-04-08,store_1,125.42,0,4,4,0,small,50000
2022-04-09,store_1,149.11,0,5,4,1,small,50000
2022-04-10,store_1,215.15,1,6,4,1,small,50000
2022-04-11,store_1,132.3,0,0,4,0,small,50000
2022-04-12,store_1,125.24,0,1,4,0,small,50000
2022-04-13,store_1,158.88,0,2,4,0,small,50000
2022-04-14,store_1,126.99,0,3,4,0,small,50000
2022-04-15,store_1,146.65,0,4,4,0,small,50000
2022-04-16,store_1,199.38,0,5,4,1,small,50000
2022-04-17,store_1,228.42,1,6,4,1,small,50000
2022-04-18,store_1,127.73,0,0,4,0,small,50000
2022-04-19,store_1,128.84,0,1,4,0,small,50000
2022-04-20,store_1,132.37,0,2,4,0,small,50000
2022-04-21,store_1,130.18,0,3,4,0,small,50000
2022-04-22,store_1,121.6,0,4,4,0,small,50000
2022-04-23,store_1,244.96,1,5,4,1,small,50000
2022-04-24,store_1,171.29,0,6,4,1,small,50000
2022-04-25,store_1,159.55,0,0,4,0,small,50000
2022-04-26,store_1,144.32,0,1,4,0,small,50000
2022-04-27,store_1,130.36,0,2,4,0,small,50000
2022-04-28,store_1,140.54,0,3,4,0,small,50000
2022-04-29,store_1,140.12,0,4,4,0,small,50000
2022-04-30,store_1,192.01,0,5,4,1,small,50000
2022-05-01,store_1,151.99,0,6,5,1,small,50000
2022-05-02,store_1,120.8,0,0,5,0,small,50000
2022-05-03,store_1,125.28,0,1,5,0,small,50000
2022-05-04,store_1,134.24,0,2,5,0,small,50000
2022-05-05,store_1,96.93,0,3,5,0,small,50000
2022-05-06,store_1,125.0,0,4,5,0,small,50000
2022-05-07,store_1,195.52,0,5,5,1,small,50000
2022-05-08,store_1,217.08,1,6,5,1,small,50000
2022-05-09,store_1,136.97,0,0,5,0,small,50000
2022-05-10,store_1,137.68,0,1,5,0,small,50000
2022-05-11,store_1,138.77,0,2,5,0,small,50000
2022-05-12,store_1,142.11,0,3,5,0,small,50000
2022-05-13,store_1,145.28,0,4,5,0,small,50000
2022-05-14,store_1,198.57,0,5,5,1,small,50000
2022-05-15,store_1,171.67,0,6,5,1,small,50000
2022-05-16,store_1,125.5,0,0,5,0,small,50000
2022-05-17,store_1,138.97,0,1,5,0,small,50000
2022-05-18,store_1,138.79,0,2,5,0,small,50000
2022-05-19,store_1,143.29,0,3,5,0,small,50000
2022-05-20,store_1,118.48,0,4,5,0,small,50000
2022-05-21,store_1,253.34,1,5,5,1,small,50000
2022-05-22,store_1,157.89,0,6,5,1,small,50000
2022-05-23,store_1,137.41,0,0,5,0,small,50000
2022-05-24,store_1,130.23,0,1,5,0,small,50000
2022-05-25,store_1,147.57,0,2,5,0,small,50000
2022-05-26,store_1,160.72,1,3,5,0,small,50000
2022-05-27,store_1,184.24,1,4,5,0,small,50000
2022-05-28,store_1,246.89,1,5,5,1,small,50000
2022-05-29,store_1,232.16,1,6,5,1,small,50000
2022-05-30,store_1,136.5,0,0,5,0,small,50000
2022-05-31,store_1,129.45,0,1,5,0,small,50000
2022-06-01,store_1,136.01,0,2,6,0,small,50000
2022-06-02,store_1,138.6,0,3,6,0,small,50000
2022-06-03,store_1,128.99,0,4,6,0,small,50000
2022-06-04,store_1,175.34,0,5,6,1,small,50000
2022-06-05,store_1,148.36,0,6,6,1,small,50000
2022-06-06,store_1,116.36,0,0,6,0,small,50000
2022-06-07,store_1,130.32,0,1,6,0,small,50000
2022-06-08,store_1,121.46,0,2,6,0,small,50000
2022-06-09,store_1,132.81,0,3,6,0,small,50000
2022-06-10,store_1,146.83,0,4,6,0,small,50000
2022-06-11,store_1,195.89,0,5,6,1,small,50000
2022-06-12,store_1,174.16,0,6,6,1,small,50000
2022-06-13,store_1,122.4,0,0,6,0,small,50000
2022-06-14,store_1,121.55,0,1,6,0,small,50000
2022-06-15,store_1,152.69,0,2,6,0,small,50000
2022-06-16,store_1,144.48,0,3,6,0,small,50000
2022-06-17,store_1,132.58,0,4,6,0,small,50000
2022-06-18,store_1,178.45,0,5,6,1,small,50000
2022-06-19,store_1,235.11,1,6,6,1,small,50000
2022-06-20,store_1,140.3,0,0,6,0,small,50000
2022-06-21,store_1,134.54,0,1,6,0,small,50000
2022-06-22,store_1,142.5,0,2,6,0,small,50000
2022-06-23,store_1,142.67,0,3,6,0,small,50000
2022-06-24,store_1,124.7,0,4,6,0,small,50000
2022-06-25,store_1,182.09,0,5,6,1,small,50000
2022-06-26,store_1,195.25,0,6,6,1,small,50000
2022-06-27,store_1,140.22,0,0,6,0,small,50000
2022-06-28,store_1,138.98,0,1,6,0,small,50000
2022-06-29,store_1,126.77,0,2,6,0,small,50000
2022-06-30,store_1,126.95,0,3,6,0,small,50000
2022-07-01,store_1,134.81,0,4,7,0,small,50000
2022-07-02,store_1,168.58,0,5,7,1,small,50000
2022-07-03,store_1,191.76,0,6,7,1,small,50000
2022-07-04,store_1,133.13,0,0,7,0,small,50000
2022-07-05,store_1,127.58,0,1,7,0,small,50000
2022-07-06,store_1,146.07,0,2,7,0,small,50000
2022-07-07,store_1,123.22,0,3,7,0,small,50000
2022-07-08,store_1,134.78,0,4,7,0,small,50000
2022-07-09,store_1,169.58,0,5,7,1,small,50000
2022-07-10,store_1,211.86,0,6,7,1,small,50000
2022-07-11,store_1,134.83,0,0,7,0,small,50000
2022-07-12,store_1,125.61,0,1,7,0,small,50000
2022-07-13,store_1,135.5,0,2,7,0,small,50000
2022-07-14,store_1,133.17,0,3,7,0,small,50000
2022-07-15,store_1,127.21,0,4,7,0,small,50000
2022-07-16,store_1,259.02,1,5,7,1,small,50000
2022-07-17,store_1,252.02,1,6,7,1,small,50000
2022-07-18,store_1,138.13,0,0,7,0,small,50000
2022-07-19,store_1,126.53,0,1,7,0,small,50000
2022-07-20,store_1,154.77,0,2,7,0,small,50000
2022-07-21,store_1,139.05,0,3,7,0,small,50000
2022-07-22,store_1,128.93,0,4,7,0,small,50000
2022-07-23,store_1,261.09,1,5,7,1,small,50000
2022-07-24,store_1,179.55,0,6,7,1,small,50000
2022-07-25,store_1,145.51,0,0,7,0,small,50000
2022-07-26,store_1,139.58,0,1,7,0,small,50000
2022-07-27,store_1,158.86,0,2,7,0,small,50000
2022-07-28,store_1,124.1,0,3,7,0,small,50000
2022-07-29,store_1,129.54,0,4,7,0,small,50000
2022-07-30,store_1,220.22,0,5,7,1,small,50000
2022-07-31,store_1,176.64,0,6,7,1,small,50000
2022-08-01,store_1,123.1,0,0,8,0,small,50000
2022-08-02,store_1,141.42,0,1,8,0,small,50000
2022-08-03,store_1,147.14,0,2,8,0,small,50000
2022-08-04,store_1,134.14,0,3,8,0,small,50000
2022-08-05,store_1,115.16,0,4,8,0,small,50000
2022-08-06,store_1,165.26,0,5,8,1,small,50000
2022-08-07,store_1,155.86,0,6,8,1,small,50000
2022-08-08,store_1,157.06,0,0,8,0,small,50000
2022-08-09,store_1,117.7,0,1,8,0,small,50000
2022-08-10,store_1,129.2,0,2,8,0,small,50000
2022-08-11,store_1,141.19,0,3,8,0,small,50000
2022-08-12,store_1,121.84,0,4,8,0,small,50000
2022-08-13,store_1,183.93,0,5,8,1,small,50000
2022-08-14,store_1,168.44,0,6,8,1,small,50000
2022-08-15,store_1,138.97,0,0,8,0,small,50000
2022-08-16,store_1,132.31,0,1,8,0,small,50000
2022-08-17,store_1,133.78,0,2,8,0,small,50000
2022-08-18,store_1,147.01,0,3,8,0,small,50000
2022-08-19,store_1,122.97,0,4,8,0,small,50000
2022-08-20,store_1,246.86,1,5,8,1,small,50000
2022-08-21,store_1,189.84,0,6,8,1,small,50000
2022-08-22,store_1,122.03,0,0,8,0,small,50000
2022-08-23,store_1,118.67,0,1,8,0,small,50000
2022-08-24,store_1,132.6,0,2,8,0,small,50000
2022-08-25,store_1,112.84,0,3,8,0,small,50000
2022-08-26,store_1,138.33,0,4,8,0,small,50000
2022-08-27,store_1,253.35,1,5,8,1,small,50000
2022-08-28,store_1,158.55,0,6,8,1,small,50000
2022-08-29,store_1,144.8,0,0,8,0,small,50000
2022-08-30,store_1,148.89,0,1,8,0,small,50000
2022-08-31,store_1,139.57,0,2,8,0,small,50000
2022-09-01,store_1,149.74,0,3,9,0,small,50000
2022-09-02,store_1,132.11,0,4,9,0,small,50000
2022-09-03,store_1,170.64,0,5,9,1,small,50000
2022-09-04,store_1,238.48,1,6,9,1,small,50000
2022-09-05,store_1,124.45,0,0,9,0,small,50000
2022-09-06,store_1,129.31,0,1,9,0,small,50000
2022-09-07,store_1,135.81,0,2,9,0,small,50000
2022-09-08,store_1,137.23,0,3,9,0,small,50000
2022-09-09,store_1,140.64,0,4,9,0,small,50000
2022-09-10,store_1,200.59,1,5,9,1,small,50000
2022-09-11,store_1,220.6,0,6,9,1,small,50000
2022-09-12,store_1,125.57,0,0,9,0,small,50000
2022-09-13,store_1,142.77,0,1,9,0,small,50000
2022-09-14,store_1,138.79,0,2,9,0,small,50000
2022-09-15,store_1,128.73,0,3,9,0,small,50000
2022-09-16,store_1,141.75,0,4,9,0,small,50000
2022-09-17,store_1,165.6,0,5,9,1,small,50000
2022-09-18,store_1,178.28,0,6,9,1,small,50000
2022-09-19,store_1,157.61,0,0,9,0,small,50000
2022-09-20,store_1,130.97,0,1,9,0,small,50000
2022-09-21,store_1,136.6,0,2,9,0,small,50000
2022-09-22,store_1,124.17,0,3,9,0,small,50000
2022-09-23,store_1,143.15,0,4,9,0,small,50000
2022-09-24,store_1,167.77,0,5,9,1,small,50000
2022-09-25,store_1,247.14,1,6,9,1,small,50000
2022-09-26,store_1,146.85,0,0,9,0,small,50000
2022-09-27,store_1,133.18,0,1,9,0,small,50000
2022-09-28,store_1,142.08,0,2,9,0,small,50000
2022-09-29,store_1,139.82,0,3,9,0,small,50000
2022-09-30,store_1,147.35,0,4,9,0,small,50000
2022-10-01,store_1,187.07,0,5,10,1,small,50000
2022-10-02,store_1,266.47,1,6,10,1,small,50000
2022-10-03,store_1,133.15,0,0,10,0,small,50000
2022-10-04,store_1,122.1,0,1,10,0,small,50000
2022-10-05,store_1,118.13,0,2,10,0,small,50000
2022-10-06,store_1,119.13,0,3,10,0,small,50000
2022-10-07,store_1,132.74,0,4,10,0,small,50000
2022-10-08,store_1,181.44,0,5,10,1,small,50000
2022-10-09,store_1,169.0,0,6,10,1,small,50000
2022-10-10,store_1,111.59,0,0,10,0,small,50000
2022-10-11,store_1,128.65,0,1,10,0,small,50000
2022-10-12,store_1,131.15,0,2,10,0,small,50000
2022-10-13,store_1,135.89,0,3,10,0,small,50000
2022-10-14,store_1,151.86,0,4,10,0,small,50000
2022-10-15,store_1,152.98,0,5,10,1,small,50000
2022-10-16,store_1,254.98,1,6,10,1,small,50000
